source_x,source_y,reference_x,reference_y,confidence,residual_px,inlier
211.0000,211.0000,232.8058,213.1892,0.9681,0.7061,1
219.0000,211.0000,240.1937,213.2748,0.9621,0.2093,1
227.0000,211.0000,248.4138,213.6809,0.9371,0.2858,1
235.0000,211.0000,256.6095,213.8134,0.9691,0.4971,1
147.0000,219.0000,167.7554,222.1362,0.9446,0.8464,1
155.0000,219.0000,176.0093,221.9976,0.8570,0.6514,1
163.0000,219.0000,183.5896,221.9849,0.9283,0.7727,1
171.0000,219.0000,191.8415,221.6641,0.7805,0.3625,1
179.0000,219.0000,200.4517,222.2867,0.9220,0.9628,1
187.0000,219.0000,209.0434,221.7311,0.9951,0.9930,1
195.0000,219.0000,216.4210,221.5146,0.9830,0.3120,1
203.0000,219.0000,224.2356,222.0424,0.9273,0.6034,1
211.0000,219.0000,232.1719,222.1195,0.7993,0.6562,1
219.0000,219.0000,240.1547,221.8430,0.9941,0.3634,1
227.0000,219.0000,248.8323,221.2206,0.7901,0.6966,1
235.0000,219.0000,256.0728,221.7943,0.5390,0.3129,1
147.0000,227.0000,168.2317,230.0295,0.5693,0.7362,1
163.0000,227.0000,184.0345,229.6790,0.7833,0.3192,1
171.0000,227.0000,191.9228,230.1193,0.7749,0.7564,1
179.0000,227.0000,200.6438,229.3134,0.9831,0.5646,1
187.0000,227.0000,208.5585,229.5192,0.9989,0.4684,1
195.0000,227.0000,216.5794,229.5960,0.9964,0.4886,1
203.0000,227.0000,224.9130,229.7415,0.9183,0.8293,1
211.0000,227.0000,232.4986,230.3217,0.8822,0.9265,1
219.0000,227.0000,240.3796,229.7600,0.9921,0.3490,1
227.0000,227.0000,247.7964,229.5680,0.9276,0.4036,1
235.0000,227.0000,255.6918,229.9254,0.7793,0.6648,1
147.0000,235.0000,167.6799,237.8913,0.7606,0.6583,1
155.0000,235.0000,176.1931,237.6439,0.8297,0.3441,1
163.0000,235.0000,183.8176,237.6599,0.8976,0.3813,1
171.0000,235.0000,191.8932,237.5293,0.9252,0.2334,1
179.0000,235.0000,200.6840,237.2999,0.9779,0.6056,1
187.0000,235.0000,208.8063,237.9352,0.9985,0.8792,1
195.0000,235.0000,216.2665,237.8609,0.9985,0.4604,1
203.0000,235.0000,224.0438,237.3950,0.9212,0.1059,1
211.0000,235.0000,231.8915,237.3572,0.9574,0.2841,1
219.0000,235.0000,240.7660,237.8868,0.9614,0.7204,1
227.0000,235.0000,248.0673,237.3226,0.9304,0.2103,1
235.0000,235.0000,255.6320,237.9166,0.7486,0.7094,1
278.0000,155.0000,298.8540,158.1001,0.6100,0.6530,1
278.0000,163.0000,299.7348,165.8469,0.5804,0.4831,1
278.0000,171.0000,298.9195,173.9028,0.6063,0.4777,1
286.0000,171.0000,306.6192,174.3666,0.8943,1.0132,1
294.0000,171.0000,314.8652,173.9324,0.8701,0.5514,1
302.0000,171.0000,322.6834,173.8840,0.9438,0.7090,1
278.0000,179.0000,299.1784,181.9471,0.8351,0.3522,1
286.0000,179.0000,307.2368,181.4009,0.9279,0.2505,1
